"Title","Artist","Primarily.Male","Primarily.Female","Equal.Mixed","Studio","F1","F2","F3","F4","F5","Year","OI","Genre","sOI","Sex"
"Somebdy that I used to know","Gotye ft. Kimbra",1,0,0,"Eleven: A Music Company",0,0,0,0,0,"2012",0,"Pop",0,"Mixed"
"Call me maybe","Carly Rae Jepson",0,0,0,"School Boy/ Interscope Records",2,0,0,2,15,"2012",19,"Pop",4.35889894354067,"Female"
"We are young","Fun. ft. Janelle Monáe",1,0,0,"Fueled By Ramen, LLC",0,0,0,0,0,"2012",0,"Pop",0,"Mixed"
"Payphone","Maroon 5 ft. Wiz Khalifa",0,0,0,"Interscope Records",0,0,0,6,6,"2012",12,"Pop",3.46410161513775,"Male"
"Lights","Ellie Goulding",0,0,0,"Polydor, Ltd",0,0,0,0,16,"2012",16,"Pop",4,"Female"
"Glad you came","The Wanted",0,0,0,"Global Talent Records, Ltd",2,0,29,16,0,"2012",47,"Pop",6.85565460040104,"Male"
"Stronger","Kelly Clarkson",0,0,0,"19 Recordings, Ltd",0,0,0,0,0,"2012",0,"Pop",0,"Female"
"We found love","Rihanna ft. Calvin Harris",0,0,0,"The Island Def Jam Music Group",0,0,0,0,1,"2012",1,"Pop",1,"Female"
"Starships","Nicki Minaj",0,0,0,"Cash Money Records, Inc",0,2,10,5,1,"2012",18,"Pop",4.24264068711928,"Female"
"What makes you beautiful","One Direction",0,0,0,"Simco Limited",9,9,0,9,0,"2012",27,"Pop",5.19615242270663,"Male"
"Thrift Shop","Mackelmore and Ryan Lewis ft. Wanz",0,0,0,"Mackelmore, LLC",0,0,1,2,0,"2013",3,"Pop",1.73205080756888,"Male"
"Blurred Lines","Robin Thicke ft. T.I. and Pharrell",0,0,0,"Star Trak, LLC",1,10,29,19,25,"2013",84,"Pop",9.16515138991168,"Male"
"Radioactive","Imagine Dragons",0,0,0,"KIDinaKORNER/Interscope Records",0,0,0,0,0,"2013",0,"Pop",0,"Male"
"Harlem Shake","Baauer",0,0,0,"Mad Decent",0,0,0,0,0,"2013",0,"Pop",0,"Male"
"Can't hold us","Mackelmore and Ryan Lewis ft. Ray Dalton",0,0,0,"Mackelmore, LLC",0,0,0,0,0,"2013",0,"Pop",0,"Male"
"Mirrors","Justin Timberlake",0,0,0,"RCA Records",2,2,0,0,0,"2013",4,"Pop",2,"Male"
"Just give me a reason","P!nk ft. Nate Ruess",0,1,0,"RCA Records",0,0,0,0,1,"2013",1,"Pop",1,"Mixed"
"When I was your man","Bruno Mars",0,0,0,"Atlantic Recording Corporation",0,0,0,0,0,"2013",0,"Pop",0,"Male"
"Cruise","Florida Georgia Line",0,0,0,"Big Machine Label Group, LLC",4,3,0,1,0,"2013",8,"Pop",2.82842712474619,"Male"
"Roar","Katy Perry",0,0,0,"Capitol Records, LLC",0,0,0,0,0,"2013",0,"Pop",0,"Female"
"Happy","Pharrell Williams",0,0,0,"Columbia Records",0,1,0,0,0,"2014",1,"Pop",1,"Male"
"Dark horse","Katy Perry ft. Juicy J",0,1,0,"Capitol Records, LLC",0,0,4,5,1,"2014",10,"Pop",3.16227766016838,"Mixed"
"All of me","John Legend",0,0,0,"Getting Out Our Dreams and Columbia Records",0,1,0,0,0,"2014",1,"Pop",1,"Male"
"Fancy","Iggy Azalea ft. Charlie XCX",0,0,0,"Virgin EMI Records",1,2,2,6,3,"2014",14,"Pop",3.74165738677394,"Female"
"Counting stars","OneRepublic",0,0,0,"Mosley Music Group",0,0,0,0,0,"2014",0,"Pop",0,"Male"
"Talk dirty","Jason Derulo ft. 2 Chainz",0,0,0,"Beluga Heights Records",0,5,31,18,7,"2014",61,"Pop",7.81024967590665,"Male"
"Rude","MAGIC!",0,0,0,"RCA Records",0,0,0,0,8,"2014",8,"Pop",2.82842712474619,"Male"
"All about that bass","Meghan Trainor",0,0,0,"Epic Records",0,43,0,3,1,"2014",47,"Pop",6.85565460040104,"Female"
"Problem","Ariana Grande ft. Iggy Azalea",0,0,0,"Republic Records",0,0,0,0,1,"2014",1,"Pop",1,"Female"
"Stay with me","Sam Smith",0,0,0,"Capitol Records, LLC",0,0,6,1,0,"2014",7,"Pop",2.64575131106459,"Male"
"Uptown funk","Mark Ronson ft. Bruno Mars",0,0,0,"RCA Records",0,3,1,1,2,"2015",7,"Pop",2.64575131106459,"Male"
"Thinking out loud","Ed Sheeran",0,0,0,"Asylum Records",0,0,0,0,0,"2015",0,"Pop",0,"Male"
"See you again","Wiz Khalifa ft. Charlie Puth",0,0,0,"Atlantic Recording Corporation",0,0,0,0,0,"2015",0,"Pop",0,"Male"
"Trap queen","Fetty Wap",0,0,0,"300 Entertainment/ RGF Productions",2,2,0,5,5,"2015",14,"Pop",3.74165738677394,"Male"
"Suagr","Maroon 5",0,0,0,"Interscope Records",0,2,42,7,0,"2015",51,"Pop",7.14142842854285,"Male"
"Shut up and dance","Walk the Moon",0,0,0,"RCA Records",0,1,2,0,0,"2015",3,"Pop",1.73205080756888,"Male"
"Blank space","Taylor Swift",0,0,0,"Big Machine Label Group, LLC",0,2,1,2,5,"2015",10,"Pop",3.16227766016838,"Female"
"Watch me","Silentó",0,0,0,"Capitol Records, LLC",0,0,0,0,0,"2015",0,"Pop",0,"Male"
"Earned it","The Weekend",0,0,0,"Top Dawg Entertainment",2,0,8,16,0,"2015",26,"Pop",5.09901951359278,"Male"
"The Hills","The Weekend",0,0,0,"Top Dawg Entertainment",1,0,20,3,2,"2015",26,"Pop",5.09901951359278,"Male"
"Love yourself","Justin Bieber",0,0,0,"Def Jam Recordings",0,0,0,0,0,"2016",0,"Pop",0,"Male"
"Sorry","Justin Bieber",0,0,0,"Def Jam Recordings",0,3,0,0,0,"2016",3,"Pop",1.73205080756888,"Mixed"
"One dance","Drake ft. Wizkid and Kyla",1,0,0,"Young Money Entertainment/ Cash Money Records",0,1,38,1,0,"2016",40,"Pop",6.32455532033676,"Mixed"
"Work","Rihanna ft. Drake",0,1,0,"Roc Nation",0,0,0,0,5,"2016",5,"Pop",2.23606797749979,"Mixed"
"Stressed out","twenty one pilots",0,0,0,"Fueled By Ramen, LLC",0,0,0,0,0,"2016",0,"Pop",0,"Male"
"Panda","Desiigner",0,0,0,"GOOD Music",0,5,0,40,45,"2016",90,"Pop",9.48683298050514,"Male"
"Hello","Adele",0,0,0,"XL Recordings",0,0,0,0,2,"2016",2,"Pop",1.4142135623731,"Female"
"Don't let me down","The Chainsmokers ft. Daya",1,0,0,"Disruptor Records",0,0,0,0,52,"2016",52,"Pop",7.21110255092798,"Mixed"
"CAN'T STOP THE FEELING","Justin Timberlake",0,0,0,"RCA Records",3,0,7,0,0,"2016",10,"Pop",3.16227766016838,"Male"
"Closer","The Chainsmokers ft. Halsey",1,0,0,"Disruptor Records",2,2,21,0,3,"2016",28,"Pop",5.29150262212918,"Mixed"
"Time is love","Josh Turner",0,0,0,"MCA Nashville",0,0,0,0,0,"2012",0,"Country",0,"Male"
"You don't know her like I do","Brantley Gilbert",0,0,0,"The Valory Music Co., LLC",0,0,0,0,0,"2012",0,"Country",0,"Male"
"Why ya wanna","Jana Kramer",0,0,0,"Warner Music Nashville, LLC",3,4,0,0,0,"2012",7,"Country",2.64575131106459,"Female"
"Cowboys and angels","Dustin Lynch",0,0,0,"Broken Bow Records",0,0,2,0,1,"2012",3,"Country",1.73205080756888,"Male"
"(Kissed you) Good night","Gloriana",0,0,1,"Emblem Records Inc.",0,0,3,0,5,"2012",8,"Country",2.82842712474619,"Mixed"
"Better than I used to be","Tim McGraw",0,0,0,"Curb Records Inc.",0,0,0,0,0,"2012",0,"Country",0,"Male"
"Even if it breaks your heart","Eli Young Band",0,0,0,"Big Machine Label Group, LLC",0,0,0,0,0,"2012",0,"Country",0,"Male"
"Lovin' you is fun","Easton Corbin",0,0,0,"Mercury Records",0,0,0,0,0,"2012",0,"Country",0,"Male"
"Springsteen","Eric Church",0,0,0,"Capitol Records Nashville",0,2,3,0,0,"2012",5,"Country",2.23606797749979,"Male"
"Drunk on you","Luke Bryan",0,0,0,"Capitol Records Nashville",3,9,21,20,0,"2012",53,"Country",7.28010988928052,"Male"
"Cruise","Florida Georgia Line",0,0,0,"Big Machine Label Group, LLC",4,3,0,1,0,"2013",8,"Pop",2.82842712474619,"Male"
"Wagon wheel","Darius Rucker",0,0,0,"Capitol Records Nashville",0,0,0,0,0,"2013",0,"Country",0,"Male"
"Boys 'round here","Blake Shelton ft. Pistol Annies and Friends",1,0,0,"Ten Point Productions, Inc.",0,5,13,4,2,"2013",24,"Country",4.89897948556636,"Mixed"
"Crash my party","Luke Bryan",0,0,0,"Capitol Records Nashville",1,3,12,2,0,"2013",18,"Country",4.24264068711928,"Male"
"I want crazy","Hunter Hayes",0,0,0,"Atlantic Records",0,0,0,0,0,"2013",0,"Country",0,"Male"
"Highway don't care","Tim McGraw ft. Taylor Swify and Keith Urban",1,0,0,"McGraw Music, LLC",0,0,0,0,9,"2013",9,"Country",3,"Mixed"
"Get your shine on","Florida Georgia Line",0,0,0,"Republic Nashville",0,5,1,15,0,"2013",21,"Country",4.58257569495584,"Male"
"Momma's broken heart","Miranda Lambert",0,0,0,"Sony Music Entertainment",0,6,0,0,5,"2013",11,"Country",3.3166247903554,"Female"
"Sure be cool if you did","Blake Shelton",0,0,0,"Ten Point Productions, Inc.",1,1,15,0,0,"2013",17,"Country",4.12310562561766,"Male"
"Runnin' outta moonlight","Randy Houser",0,0,0,"Stoney Creek Records",1,2,0,0,0,"2013",3,"Country",1.73205080756888,"Male"
"This is how we roll","Florida Georgia Line",0,0,0,"Big Machine Label Group, LLC",1,1,0,1,0,"2014",3,"Country",1.73205080756888,"Male"
"Burnin' it down","Jason Aldean",0,0,0,"Broken Bow Records",0,0,33,5,0,"2014",38,"Country",6.16441400296898,"Male"
"Dirt","Florida Georgia Line",0,0,0,"Big Machine Label Group, LLC",3,6,0,0,0,"2014",9,"Country",3,"Male"
"Bottoms up","Brantley Gilbert",0,0,0,"The Valory Music Co., LLC",1,6,6,3,4,"2014",20,"Country",4.47213595499958,"Male"
"Play it again","Luke Bryan",0,0,0,"Capitol Records Nashville",0,1,0,1,2,"2014",4,"Country",2,"Male"
"American kids","Kenny Chesney",0,0,0,"Blue Chair Records, LLC",0,0,2,2,0,"2014",4,"Country",2,"Male"
"Bartender","Lady Antebellum",1,0,0,"Lady A Entertainment, LLC",0,1,0,1,0,"2014",2,"Country",1.4142135623731,"Mixed"
"Drunk on a plane","Dierks Bentley",0,0,0,"Capitol Records Nashville",0,6,3,0,0,"2014",9,"Country",3,"Male"
"Leave the night on","Sam Hunt",0,0,0,"MCA Nashville",0,3,10,0,0,"2014",13,"Country",3.60555127546399,"Male"
"Somethin' bad","Miranda Lambert ft. Carrie Underwood",0,0,0,"Sony Music Entertainment",0,0,0,0,0,"2014",0,"Country",0,"Female"
"Take your time","Sam Hunt",0,0,0,"Universal Music Group Nashville",0,1,28,2,0,"2015",31,"Country",5.56776436283002,"Male"
"Girl crush","Little Big Town",0,0,1,"Capitol Records Nashville",0,6,0,2,6,"2015",14,"Country",3.74165738677394,"Mixed"
"House party","Sam Hunt",0,0,0,"MCA Nashville",0,1,0,0,0,"2015",1,"Country",1,"Male"
"Kick the dust up","Luke Bryan",0,0,0,"Capitol Records Nashville",0,0,0,0,0,"2015",0,"Country",0,"Male"
"Crash and burn","Thomas Rhett",0,0,0,"Big Machine Label Group, LLC",0,0,0,0,0,"2015",0,"Country",0,"Male"
"Sangria","Blake Shelton",0,0,0,"Ten Point Productions, Inc.",0,3,26,9,0,"2015",38,"Country",6.16441400296898,"Male"
"Homegrown","Zac Brown Band",0,0,0,"Big Machine Label Group, LLC",0,3,0,0,0,"2015",3,"Country",1.73205080756888,"Male"
"Buy me a boat","Chris Janson",0,0,0,"Warner Music Nashville, LLC",0,0,0,0,0,"2015",0,"Country",0,"Male"
"John Cougar, John Deere, John 3:16","Keith Urban",0,0,0,"Hit Red Records",0,0,0,0,0,"2015",0,"Country",0,"Male"
"Like a wreckingball","Eric Church",0,0,0,"Capitol Records Nashville",0,2,12,2,0,"2015",16,"Country",4,"Male"
"H.O.L.Y.","Florida Georgia Line",0,0,0,"Big Machine Label Group, LLC",0,0,0,0,0,"2016",0,"Country",0,"Male"
"Die a happy man","Thomas Rhett",0,0,0,"Big Machine Label Group, LLC",0,3,0,0,0,"2016",3,"Country",1.73205080756888,"Male"
"Humble and kind","Tim McGraw",0,0,0,"McGraw Music, LLC",0,0,0,0,0,"2016",0,"Country",0,"Male"
"Somewhere on a beach","Dierks Bentley",0,0,0,"Capitol Records Nashville",0,6,6,9,3,"2016",24,"Country",4.89897948556636,"Male"
"Head over boots","Jon Pardi",0,0,0,"Capitol Records Nashville",0,0,0,0,0,"2016",0,"Country",0,"Male"
"You should be here","Cole Swindell",0,0,0,"Warner Music Nashville, LLC",0,0,0,0,0,"2016",0,"Country",0,"Male"
"Break up in a small town","Sam Hunt",0,0,0,"MCA Nashville",0,0,0,3,0,"2016",3,"Country",1.73205080756888,"Male"
"My church","Maren Morris",0,0,0,"Sony Music Nashville",0,0,0,0,0,"2016",0,"Country",0,"Female"
"Came here to forget","Blake Shelton",0,0,0,"Ten Point Productions, Inc.",0,0,12,0,0,"2016",12,"Country",3.46410161513775,"Male"
"Peter Pan","Kelsey Ballerini",0,0,0,"Black River Entertainment",0,0,0,0,0,"2016",0,"Country",0,"Female"
